Date,AAPL,GOOGL,MSFT,AMZN,FB
2012-05-18,75.76856994628906,300.50048828125,29.270000457763672,213.85000610351562,38.22999954223633
2012-05-21,80.18285369873047,307.36236572265625,29.75,218.11000061035156,34.029998779296875
2012-05-22,79.56714630126953,300.7007141113281,29.760000228881836,215.3300018310547,31.0
2012-05-23,81.5085678100586,305.0350341796875,29.110000610351562,217.27999877929688,32.0
2012-05-24,80.76000213623047,302.13214111328125,29.06999969482422,215.24000549316406,33.029998779296875
2012-05-25,80.32714080810547,296.0610656738281,29.059999465942383,212.88999938964844,31.90999984741211
2012-05-29,81.75285339355469,297.46746826171875,29.559999465942383,214.75,28.84000015258789
2012-05-30,82.73857116699219,294.409423828125,29.34000015258789,209.22999572753906,28.190000534057617
2012-05-31,82.5328598022461,290.7207336425781,29.190000534057617,212.91000366210938,29.600000381469727
2012-06-01,80.14142608642578,285.7757873535156,28.450000762939453,208.22000122070312,27.719999313354492
2012-06-04,80.61285400390625,289.5845947265625,28.549999237060547,214.57000732421875,26.899999618530273
2012-06-05,80.40428924560547,285.490478515625,28.510000228881836,213.2100067138672,25.8700008392334
2012-06-06,81.63714599609375,290.5755615234375,29.350000381469727,217.63999938964844,26.809999465942383
2012-06-07,81.67428588867188,289.4044189453125,29.229999542236328,218.8000030517578,26.309999465942383
2012-06-08,82.9028549194336,290.5155029296875,29.649999618530273,218.47999572753906,27.100000381469727
2012-06-11,81.59571075439453,284.5345458984375,28.899999618530273,216.5,27.010000228881836
2012-06-12,82.3085708618164,282.83282470703125,29.290000915527344,216.4199981689453,27.399999618530273
2012-06-13,81.73714447021484,280.8258361816406,29.1299991607666,214.72999572753906,27.270000457763672
2012-06-14,81.64714050292969,279.8048095703125,29.34000015258789,214.4499969482422,28.290000915527344
2012-06-15,82.01856994628906,282.53753662109375,30.020000457763672,218.35000610351562,30.010000228881836
2012-06-18,83.68285369873047,285.7107238769531,29.84000015258789,222.66000366210938,31.40999984741211
2012-06-19,83.91571807861328,291.0560607910156,30.700000762939453,224.02999877929688,31.90999984741211
2012-06-20,83.67713928222656,289.0440368652344,30.93000030517578,223.02000427246094,31.600000381469727
2012-06-21,82.52428436279297,282.88787841796875,30.139999389648438,220.57000732421875,31.84000015258789
2012-06-22,83.15714263916016,286.0260314941406,30.700000762939453,222.16000366210938,33.04999923706055
2012-06-25,81.53857421875,280.6306457519531,29.8700008392334,220.07000732421875,32.060001373291016
2012-06-26,81.71857452392578,282.62261962890625,30.020000457763672,225.61000061035156,33.099998474121094
2012-06-27,82.07142639160156,284.9349365234375,30.170000076293945,225.6199951171875,32.22999954223633
2012-06-28,81.29285430908203,282.43743896484375,29.90999984741211,221.30999755859375,31.360000610351562
2012-06-29,83.42857360839844,290.3253173828125,30.59000015258789,228.35000610351562,31.100000381469727
2012-07-02,84.64571380615234,290.5255126953125,30.559999465942383,229.32000732421875,30.770000457763672
2012-07-03,85.62999725341797,294.2091979980469,30.760000228881836,229.52999877929688,31.200000762939453
2012-07-05,87.13428497314453,298.2582702636719,30.700000762939453,227.05999755859375,31.469999313354492
2012-07-06,86.55428314208984,293.2832946777344,30.190000534057617,225.0500030517578,31.729999542236328
2012-07-09,87.69857025146484,293.2983093261719,30.0,225.0500030517578,32.16999816894531
2012-07-10,86.88714599609375,291.1411437988281,29.739999771118164,219.5,31.469999313354492
2012-07-11,86.3471450805664,285.8808898925781,29.299999237060547,218.3699951171875,30.969999313354492
2012-07-12,85.55714416503906,285.5255126953125,28.6299991607666,215.36000061035156,30.809999465942383
2012-07-13,86.42428588867188,288.5485534667969,29.389999389648438,218.38999938964844,30.719999313354492
2012-07-16,86.70143127441406,287.74774169921875,29.440000534057617,216.00999450683594,28.25
2012-07-17,86.7057113647461,288.6536560058594,29.65999984741211,216.92999267578125,28.09000015258789
2012-07-18,86.60857391357422,290.6706848144531,30.450000762939453,217.47000122070312,29.110000610351562
2012-07-19,87.76000213623047,296.8268127441406,30.670000076293945,226.1699981689453,29.0
2012-07-20,86.32857513427734,305.7157287597656,30.1200008392334,228.2899932861328,28.760000228881836
2012-07-23,86.26142883300781,308.06304931640625,29.280000686645508,226.00999450683594,28.75
2012-07-24,85.84571075439453,304.0890808105469,29.149999618530273,223.0399932861328,28.450000762939453
2012-07-25,82.1385726928711,304.2992858886719,28.829999923706055,217.0500030517578,29.34000015258789
2012-07-26,82.12571716308594,306.98699951171875,29.15999984741211,220.00999450683594,26.850000381469727
2012-07-27,83.59428405761719,317.79779052734375,29.760000228881836,237.32000732421875,23.709999084472656
2012-07-30,85.00428771972656,316.4664611816406,29.639999389648438,236.08999633789062,23.149999618530273
2012-07-31,87.25142669677734,316.8017883300781,29.469999313354492,233.3000030517578,21.709999084472656
2012-08-01,86.68714141845703,316.6566467285156,29.40999984741211,232.08999633789062,20.8799991607666
2012-08-02,86.82714080810547,314.689697265625,29.190000534057617,230.80999755859375,20.040000915527344
2012-08-03,87.95714569091797,320.9859924316406,29.75,234.97000122070312,21.09000015258789
2012-08-06,88.93571472167969,321.7317199707031,29.950000762939453,233.99000549316406,21.920000076293945
2012-08-07,88.70143127441406,320.590576171875,30.260000228881836,236.55999755859375,20.719999313354492
2012-08-08,88.55142974853516,321.4364318847656,30.329999923706055,234.3800048828125,20.719999313354492
2012-08-09,88.67571258544922,321.4964904785156,30.5,234.05999755859375,21.010000228881836
2012-08-10,88.81428527832031,321.3213195800781,30.420000076293945,232.75,21.809999465942383
2012-08-13,90.0,330.3353271484375,30.389999389648438,232.44000244140625,21.600000381469727
